,activity_name,node,list_of_external_resources,has_limitations
0,Construction of new buildings,7.1,"['https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'https://www.iso.org/standard/69370.html', 'Regulation (EC) No 1893/2006', 'Directive 2010/31/EU', 'Decision 2000/532/EC', 'CEN/EN 16516', 'ISO 16000-3', 'ISO 18400', 'https://www.ipcc.ch/reports/', 'https://esdac.jrc.ec.europa.eu/projects/lucas', 'https://www.iucn.org/regions/europe/our-work/biodiversity-conservation/european-red-list-threatened-species', 'https://www.iucnredlist.org']","['The economic activity must implement adaptation solutions that substantially reduce material physical climate risks.', 'A robust climate risk and vulnerability assessment must be performed.', 'Adaptation solutions must not adversely affect the resilience of other entities.', 'Nature-based solutions or blue/green infrastructure should be favored.', 'Solutions must be consistent with local to national adaptation plans and strategies.', 'Solutions must be monitored and measured against pre-defined indicators.']"
1,Construction of new buildings,7.1_adaptation_SubstantialContributionCriteria,['https://www.ipcc.ch/reports/'],"['Climate risk and vulnerability assessments must be proportionate to the scale and expected lifespan of the activity.', 'For activities with an expected lifespan of less than 10 years, climate projections at the smallest appropriate scale are used.', 'For activities with a longer lifespan, state-of-the-art climate projections are used.']"
2,Construction of new buildings,7.1_adaptation_DNSHonClimateMitigation,['Directive 2010/31/EU'],"['The building must not be dedicated to fossil fuel-related activities.', 'The Primary Energy Demand must not exceed the threshold for nearly zero-energy buildings as per national regulation.']"
3,Construction of new buildings,7.1_adaptation_DNSHonWater,['Appendix E to Annex I to this Regulation'],"['Water appliances must meet specific maximum water flow rates.', 'The activity must comply with criteria set out in Appendix B to this Annex.']"
4,Construction of new buildings,7.1_adaptation_DNSHonCircularEconomy,"['https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'ISO 20887']","['At least 70% of non-hazardous construction and demolition waste must be prepared for reuse, recycling, and recovery.', 'Waste generation must be limited using best available techniques and selective demolition.']"
5,Construction of new buildings,7.1_adaptation_DNSHonPollutionPrevention,"['Annex XVII to Regulation (EC) No 1907/2006', 'CEN/EN 16516', 'ISO 16000-3', 'ISO 18400']","['Building components and materials must comply with specific emission thresholds for formaldehyde and volatile organic compounds.', 'If located on a potentially contaminated site, an investigation for potential contaminants must be conducted.']"
6,Construction of new buildings,7.1_adaptation_DNSHonBiodiversity,"['https://esdac.jrc.ec.europa.eu/projects/lucas', 'https://www.iucn.org/regions/europe/our-work/biodiversity-conservation/european-red-list-threatened-species', 'https://www.iucnredlist.org']","['New construction must not be built on land of high biodiversity value, endangered species habitats, or certain types of forest land.']"
7,Construction of new buildings,7.1_adaptation_Footnotes,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'https://www.iso.org/standard/69370.html', 'https://esdac.jrc.ec.europa.eu/projects/lucas', 'https://www.iucn.org/regions/europe/our-work/biodiversity-conservation/european-red-list-threatened-species', 'https://www.iucnredlist.org']",[]
8,Renovation of existing buildings,7.2,['Regulation (EC) No 1893/2006'],[]
9,Renovation of existing buildings,7.2_adaptation_SubstantialContributionCriteria,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'https://www.iso.org/standard/69370.html']","['The climate risk and vulnerability assessment is proportionate to the scale of the activity and its expected lifespan.', 'For activities with an expected lifespan of less than 10 years, the assessment is performed using climate projections at the smallest appropriate scale.', 'For activities with a longer expected lifespan, the assessment uses the highest available resolution, state-of-the-art climate projections across the existing range of future scenarios consistent with the expected lifetime of the activity, including at least 10 to 30 year climate projections scenarios for major investments.']"
10,Renovation of existing buildings,7.2_adaptation_DNSHonClimateMitigation,[],"['The building is not dedicated to extraction, storage, transport or manufacture of fossil fuels.']"
11,Renovation of existing buildings,7.2_adaptation_DNSHonWater,[],"['Wash hand basin taps and kitchen taps have a maximum water flow of 6 litres/min.', 'Showers have a maximum water flow of 8 litres/min.', 'WCs have a full flush volume of a maximum of 6 litres and a maximum average flush volume of 3.5 litres.', 'Urinals use a maximum of 2 litres/bowl/hour, and flushing urinals have a maximum full flush volume of 1 litre.']"
12,Renovation of existing buildings,7.2_adaptation_DNSHonCircularEconomy,"['https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'https://www.iso.org/standard/69370.html', 'Decision 2000/532/EC', 'EU Construction and Demolition Waste Management Protocol', 'ISO 20887']","['At least 70% (by weight) of the non-hazardous construction and demolition waste is prepared for reuse, recycling, and other material recovery.', 'Operators limit waste generation in processes related to construction and demolition.']"
13,Renovation of existing buildings,7.2_adaptation_DNSHonPollutionPrevention,"['https://www.iso.org/standard/51812.html', 'Annex XVII to Regulation (EC) No 1907/2006', 'CEN/EN 16516', 'ISO 16000-3:2011']","['Building components and materials emit less than 0.06 mg of formaldehyde per m³.', 'Other categories 1A and 1B carcinogenic volatile organic compounds emit less than 0.001 mg per m³.']"
14,Renovation of existing buildings,7.2_adaptation_DNSHonBiodiversity,[],[]
15,Renovation of existing buildings,7.2_adaptation_Footnotes,"['https://www.ipcc.ch/reports/', 'https://ec.europa.eu/info/research-and-innovation/research-area/environment/nature-based-solutions_en/', 'https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'https://www.iso.org/standard/69370.html', 'https://www.iso.org/standard/51812.html']",[]
