,activity_name,node,list_of_external_resources,has_limitations
0,Afforestation,1.1,"['http://www.fao.org/3/I8661EN/i8661en.pdf', 'Regulation (EC) No 1893/2006']","['Afforestation implies a transformation of land use from non-forest to forest, in accordance with the FAO definition of afforestation.', 'Afforestation may cover past afforestation as long as it takes place in the period between the planting of the trees and the time when the land use is recognised as a forest.', 'The economic activities in this category are limited to NACE II 02.10, 02.20, 02.30, and 02.40.']"
1,Afforestation,1.1_mitigation_SubstantialContributionCriteria,"['https://www.foresteurope.org/docs/other_meetings/2008/Geneva/Guidelines_Aff_Ref_ADOPTED.pdf', 'https://www.ipcc-nggip.iges.or.jp/public/2019rf/']","['The afforestation plan must cover a duration of at least five years or the minimum period prescribed in national law.', 'The forest management plan or equivalent instrument must cover a period of 10 years or more.', 'The activity must not involve the degradation of land with high carbon stock.', 'Forest holdings under 13ha are not required to perform a climate benefit analysis.']"
2,Afforestation,1.1_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
3,Afforestation,1.1_mitigation_DNSHonWater,['Appendix B to this Annex'],[]
4,Afforestation,1.1_mitigation_DNSHonCircularEconomy,[],[]
5,Afforestation,1.1_mitigation_DNSHonPollutionPrevention,"['Directive 2009/128/EC', 'Regulation (EU) 2019/1009', 'Regulation (EU) 2019/1021', 'Rotterdam Convention', 'Minamata Convention on Mercury', 'Montreal Protocol', 'https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1']","['The use of pesticides is reduced and alternative approaches or techniques are favoured.', 'The activity minimises the use of fertilisers and does not use manure.']"
6,Afforestation,1.1_mitigation_DNSHonBiodiversity,[],"['There is no conversion of habitats specifically sensitive to biodiversity loss or with high conservation value.', 'Excluding the use or release of invasive alien species.', 'Excluding the use of non-native species unless certain conditions are met.']"
7,Afforestation,1.1_mitigation_Footnotes,"['http://www.fao.org/3/I8661EN/i8661en.pdf', 'https://www.foresteurope.org/docs/other_meetings/2008/Geneva/Guidelines_Aff_Ref_ADOPTED.pdf', 'https://www.ipcc-nggip.iges.or.jp/public/2019rf/', 'https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1']",[]
8,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2,"['http://www.fao.org/3/I8661EN/i8661en.pdf', 'https://www.ipcc.ch/sr15/chapter/glossary/', 'https://www.ctif.org/index.php/library/european-glossary-wildfires-and-forest-fires', 'https://www.cbd.int/convention/text/']","['The economic activities in this category imply no change of land use and occurs on degraded land matching the forest definition as set out in national law, or where not available, in accordance with the FAO definition of forest.']"
9,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2_mitigation_SubstantialContributionCriteria,"['https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18', 'https://www.ipcc-nggip.iges.or.jp/public/2019rf/']","['The forest management plan or equivalent instrument covers a period of 10 years or more, and is continuously updated.', 'The sustainability of the forest management systems is ensured by choosing the most ambitious of the applicable definitions or guidelines.', 'The activity does not involve the degradation of land with high carbon stock.', 'Forest holdings under 13ha are not required to perform a climate benefit analysis.']"
10,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
11,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2_mitigation_DNSHonWater,['Appendix B to this Annex'],[]
12,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2_mitigation_DNSHonCircularEconomy,[],['silvicultural change induced by the activity is not likely to result in a significant reduction of sustainable supply of primary forest biomass suitable for the manufacturing of wood-based products with long-term circularity potential']
13,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2_mitigation_DNSHonPollutionPrevention,"['https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32009L0128', 'https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32019R1009', 'https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32019R1021']","['The use of pesticides is reduced and alternative approaches or techniques are favoured, in accordance with Directive 2009/128/EC.']"
14,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2_mitigation_DNSHonBiodiversity,[],['There is no conversion of habitats specifically sensitive to biodiversity loss or with high conservation value.']
15,"Rehabilitation and restoration of forests, including reforestation and natural forest regeneration after an extreme event",1.2_mitigation_Footnotes,"['http://www.fao.org/3/I8661EN/i8661en.pdf', 'https://www.ipcc.ch/sr15/chapter/glossary/', 'https://www.ctif.org/index.php/library/european-glossary-wildfires-and-forest-fires', 'https://www.cbd.int/convention/text/', 'https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18', 'https://www.ipcc-nggip.iges.or.jp/public/2019rf/']",[]
16,Forest management,1.3,"['http://www.fao.org/3/I8661EN/i8661en.pdf', 'Regulation (EC) No 1893/2006']","['Forest management assumes no change in land use and occurs on land matching the definition of forest as set out in national law, or where not available, in accordance with the FAO definition of forest.']"
17,Forest management,1.3_mitigation_SubstantialContributionCriteria,"['https://foresteurope.org/wp-content/uploads/2016/10/MC_lisbon_resolutionL2_with_annexes.pdf#page=18', 'https://www.ipcc-nggip.iges.or.jp/public/2019rf/', 'Directive (EU) 2018/2001', 'Regulation (EU) No 995/2010']","['The forest management plan or equivalent instrument covers a period of 10 years or more and is continuously updated.', 'Forest holdings under 13ha are not required to perform a climate benefit analysis.']"
18,Forest management,1.3_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
19,Forest management,1.3_mitigation_DNSHonWater,['Appendix B to this Annex'],[]
20,Forest management,1.3_mitigation_DNSHonCircularEconomy,[],['The silvicultural change induced by the activity on the area covered by the activity is not likely to result in a significant reduction of sustainable supply of primary forest biomass suitable for the manufacturing of wood-based products with long-term circularity potential.']
21,Forest management,1.3_mitigation_DNSHonPollutionPrevention,"['Directive 2009/128/EC', 'Regulation (EU) 2019/1009', 'Regulation (EU) 2019/1021', 'Rotterdam Convention', 'Minamata Convention on Mercury', 'Montreal Protocol on Substances that Deplete the Ozone Layer', 'https://apps.who.int/iris/bitstream/handle/10665/332193/9789240005662-eng.pdf?ua=1']","['The use of pesticides is reduced and alternative approaches or techniques are favoured.', 'The activity minimised the use of fertilisers and does not use manure.']"
22,Forest management,1.3_mitigation_DNSHonBiodiversity,[],['There is no conversion of habitats specifically sensitive to biodiversity loss or with high conservation value.']
