,activity_name,node,list_of_external_resources,has_limitations
0,Construction of new buildings,7.1,"['Regulation (EC) No 1893/2006', 'Directive 2010/31/EU']",[]
1,Construction of new buildings,7.1_mitigation_SubstantialContributionCriteria,"['Directive 2010/31/EU', 'EN13187', 'EN 13829', 'EN 15978', 'https://susproc.jrc.ec.europa.eu/product-bureau/product-groups/412/documents']","['The Primary Energy Demand (PED) is at least 10% lower than the threshold set for the nearly zero-energy building (NZEB) requirements.', 'For buildings larger than 5000 m2, testing for air-tightness and thermal integrity is required, or robust and traceable quality control processes during construction as an alternative.', 'For buildings larger than 5000 m2, the life-cycle Global Warming Potential (GWP) must be calculated and disclosed.']"
2,Construction of new buildings,7.1_mitigation_DNSHonClimateAdaptation,[],[]
3,Construction of new buildings,7.1_mitigation_DNSHonWater,[],[]
4,Construction of new buildings,7.1_mitigation_DNSHonCircularEconomy,"['Decision 2000/532/EC', 'EU Construction and Demolition Waste Management Protocol', 'ISO 20887']","['At least 70% (by weight) of the non-hazardous construction and demolition waste is prepared for reuse, recycling, and other material recovery.']"
5,Construction of new buildings,7.1_mitigation_DNSHonPollutionPrevention,"['Annex XVII to Regulation (EC) No 1907/2006', 'CEN/EN 16516', 'ISO 16000-3:2011', 'ISO 18400']","['Building components and materials must comply with specific emission thresholds for formaldehyde and other carcinogenic volatile organic compounds.', 'If the construction is on a potentially contaminated site, an investigation for potential contaminants is required.']"
6,Construction of new buildings,7.1_mitigation_DNSHonBiodiversity,"['EU LUCAS survey', 'IUCN European Red List', 'IUCN Red List', 'FAO Global Resources Assessment 2020']","['Construction must not be on arable land with moderate to high soil fertility, greenfield land of high biodiversity value, or land that serves as habitat for endangered species.']"
7,Construction of new buildings,7.1_mitigation_Footnotes,"['https://susproc.jrc.ec.europa.eu/product-bureau/product-groups/412/documents', 'https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'https://www.iso.org/standard/69370.html', 'http://www.fao.org/3/I8661EN/i8661en.pdf', 'https://esdac.jrc.ec.europa.eu/projects/lucas', 'https://www.iucn.org/regions/europe/our-work/biodiversity-conservation/european-red-list-threatened-species', 'https://www.iucnredlist.org']",[]
8,Renovation of existing buildings,7.2,['Regulation (EC) No 1893/2006'],[]
9,Renovation of existing buildings,7.2_mitigation_SubstantialContributionCriteria,['Directive 2010/31/EU'],"['The building renovation complies with the applicable requirements for major renovations.', 'It leads to a reduction of primary energy demand (PED) of at least 30%.']"
10,Renovation of existing buildings,7.2_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
11,Renovation of existing buildings,7.2_mitigation_DNSHonWater,['Appendix E to this Annex'],"['Wash hand basin taps and kitchen taps have a maximum water flow of 6 litres/min.', 'Showers have a maximum water flow of 8 litres/min.', 'WCs have a full flush volume of a maximum of 6 litres and a maximum average flush volume of 3.5 litres.', 'Urinals use a maximum of 2 litres/bowl/hour.']"
12,Renovation of existing buildings,7.2_mitigation_DNSHonCircularEconomy,"['Decision 2000/532/EC', 'EU Construction and Demolition Waste Management Protocol', 'https://www.iso.org/standard/69370.html']","['At least 70% (by weight) of the non-hazardous construction and demolition waste is prepared for reuse, recycling, and other material recovery.']"
13,Renovation of existing buildings,7.2_mitigation_DNSHonPollutionPrevention,"['Appendix C to this Annex', 'Annex XVII to Regulation (EC) No 1907/2006', 'https://www.iso.org/standard/51812.html']","['Building components and materials emit less than 0.06 mg of formaldehyde per m³.', 'Other categories 1A and 1B carcinogenic volatile organic compounds emit less than 0.001 mg per m³.']"
14,Renovation of existing buildings,7.2_mitigation_DNSHonBiodiversity,[],[]
15,Renovation of existing buildings,7.2_mitigation_Footnotes,"['https://ec.europa.eu/growth/content/eu-construction-and-demolition-waste-protocol-0_en', 'https://www.iso.org/standard/69370.html', 'https://www.iso.org/standard/51812.html']",[]
16,"Installation, maintenance and repair of energy efficiency equipment",7.3,"['Regulation (EC) No 1893/2006', 'Directive 2010/31/EU', 'Regulation (EU) 2017/1369']","['The economic activities could be associated with several NACE codes, in particular F42, F43, M71, C16, C17, C22, C23, C25, C27, C28, S95.21, S95.22, C33.12.']"
17,"Installation, maintenance and repair of energy efficiency equipment",7.3_mitigation_SubstantialContributionCriteria,"['Directive 2010/31/EU', 'Regulation (EU) 2017/1369']","['Compliance with minimum requirements set for individual components and systems in the applicable national measures implementing Directive 2010/31/EU', 'Where applicable, rated in the highest two populated classes of energy efficiency in accordance with Regulation (EU) 2017/1369', 'Installation of low water and energy using kitchen and sanitary water fittings which comply with technical specifications set out in Appendix E to this Annex', 'In case of shower solutions, mixer showers, shower outlets and taps, have a max water flow of 6 L/min or less attested by an existing label in the Union market']"
18,"Installation, maintenance and repair of energy efficiency equipment",7.3_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
19,"Installation, maintenance and repair of energy efficiency equipment",7.3_mitigation_DNSHonWater,[],[]
20,"Installation, maintenance and repair of energy efficiency equipment",7.3_mitigation_DNSHonCircularEconomy,[],[]
21,"Installation, maintenance and repair of energy efficiency equipment",7.3_mitigation_DNSHonPollutionPrevention,['Appendix C to this Annex'],"['Building components and materials comply with the criteria set out in Appendix C to this Annex', 'In case of addition of thermal insulation to an existing building envelope, a building survey is carried out in accordance with national law by a competent specialist with training in asbestos surveying', 'Any stripping of lagging that contains or is likely to contain asbestos, breaking or mechanical drilling or screwing or removal of insulation board, tiles and other asbestos containing materials is carried out by appropriately trained personnel, with health monitoring before, during and after the works, in accordance with national law']"
22,"Installation, maintenance and repair of energy efficiency equipment",7.3_mitigation_DNSHonBiodiversity,[],[]
23,"Installation, maintenance and repair of energy efficiency equipment",7.3_mitigation_Footnotes,[],[]
24,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4,['Regulation (EC) No 1893/2006'],[]
25,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_mitigation_SubstantialContributionCriteria,[],[]
26,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
27,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_mitigation_DNSHonWater,[],[]
28,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_mitigation_DNSHonCircularEconomy,[],[]
29,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_mitigation_DNSHonPollutionPrevention,[],[]
30,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_mitigation_DNSHonBiodiversity,[],[]
31,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",7.4_mitigation_Footnotes,[],[]
32,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5,['Regulation (EC) No 1893/2006'],[]
33,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_mitigation_SubstantialContributionCriteria,[],[]
34,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_mitigation_DNSHonClimateAdaptation,['Appendix A to this Annex'],[]
35,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_mitigation_DNSHonWater,[],[]
36,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_mitigation_DNSHonCircularEconomy,[],[]
37,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_mitigation_DNSHonPollutionPrevention,[],[]
38,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5_mitigation_DNSHonBiodiversity,[],[]
